Wall time,Step,Value
1504623870.36837,0,0
1504623873.47084,1,-1
1504623877.07631,2,-1
1504623880.527,3,-1
1504623883.77911,4,0
1504623886.68199,5,-1
1504623889.88401,6,0
1504623893.65462,7,-1
1504623896.84038,8,1
1504623899.89321,9,1
1504623902.69551,10,-1
1504623905.49772,11,1
1504623907.99983,12,1
1504623910.40186,13,2
1504623912.23588,14,0
1504623914.52175,15,-1
1504623916.34002,16,1
1504623918.22403,17,0
1504623920.67605,18,0
1504623922.64498,19,-1
1504623924.41308,20,-1
1504623925.94757,21,1
1504623927.46552,22,-1
1504623928.79992,23,-2
1504623929.80079,24,-1
1504623930.78482,25,-1
1504623931.73496,26,0
1504623932.31874,27,0
1504623932.71908,28,0
1504623933.6698,29,0
1504623934.60459,30,1
1504623935.17101,31,0
1504623935.37186,32,1
1504623938.8741,33,0
1504623942.34424,34,-1
1504623945.21325,35,2
1504623947.38098,36,0
1504623949.11636,37,-1
1504623950.35072,38,-1
1504623953.92019,39,-1
1504623956.42233,40,1
1504623960.02458,41,0
1504623963.17778,42,2
1504623966.76392,43,2
1504623969.33209,44,0
1504623971.41769,45,1
1504623973.13513,46,0
1504623974.47019,47,-1
1504623977.92258,48,0
1504623978.99289,49,1
1504623982.15973,50,2
1504623985.22894,51,1
1504623985.89546,52,0
1504623988.71497,53,-1
1504623991.51728,54,1
1504623993.76915,55,-1
1504623996.43796,56,1
1504623998.53956,57,1
1504624000.0401,58,0
1504624001.35787,59,0
1504624003.62645,60,0
1504624005.52865,61,1
1504624007.22936,62,0
1504624008.38086,63,1
1504624009.8815,64,0
1504624010.99967,65,1
1504624011.75029,66,1
1504624011.95049,67,1
1504624015.4527,68,-1
1504624019.03962,69,1
1504624022.82538,70,0
1504624026.04526,71,1
1504624028.74678,72,0
1504624032.51704,73,-1
1504624036.10339,74,1
1504624039.18929,75,2
1504624042.44118,76,0
1504624045.82786,77,3
1504624047.97906,78,0
1504624051.24914,79,-1
1504624054.40153,80,1
1504624056.92019,81,1
1504624059.60567,82,-1
1504624061.92427,83,-2
1504624063.8759,84,1
1504624065.81071,85,1
1504624067.17848,86,1
1504624068.74639,87,-1
1504624069.9301,88,0
1504624072.0658,89,-2
1504624075.41841,90,-1
1504624078.05331,91,0
1504624081.03976,92,1
1504624084.04213,93,1
1504624086.16047,94,2
1504624089.34637,95,2
1504624092.44833,96,0
1504624095.58481,97,1
1504624098.73738,98,2
1504624101.32412,99,0
1504624104.50808,100,0
1504624106.82721,101,2
1504624109.97918,102,0
1504624112.94888,103,1
1504624115.73449,104,2
1504624118.18572,105,0
1504624121.32229,106,1
1504624124.00777,107,1
1504624126.99355,108,1
1504624130.14612,109,2
1504624132.98096,110,0
1504624136.03414,111,2
1504624139.20281,112,0
1504624142.22258,113,1
1504624145.29171,114,2
1504624148.17669,115,0
1504624151.42981,116,2
1504624153.94872,117,1
1504624157.01716,118,0
1504624160.00366,119,-3
1504624163.05541,120,0
1504624165.925,121,1
1504624168.54307,122,0
1504624171.32876,123,0
1504624173.56388,124,0
1504624176.88389,125,-2
1504624179.81961,126,1
1504624182.12157,127,1
1504624184.75616,128,0
1504624186.87531,129,1
1504624188.50992,130,1
1504624190.61163,131,-1
1504624193.78088,132,2
1504624195.1486,133,1
1504624198.1344,134,-1
1504624200.23609,135,1
1504624203.08837,136,-1
1504624205.92334,137,0
1504624208.30949,138,1
1504624211.17829,139,2
1504624213.07976,140,1
1504624215.36499,141,1
1504624217.90036,142,1
1504624219.88468,143,0
1504624221.60332,144,1
1504624223.7545,145,0
1504624225.28903,146,0
1504624227.04107,147,1
1504624228.55832,148,0
1504624229.96188,149,1
1504624231.11105,150,1
1504624232.26193,151,2
1504624233.06199,152,0
1504624233.47959,153,-1
1504624234.96414,154,-1
1504624238.8,155,0
1504624242.38685,156,1
1504624246.17326,157,1
1504624249.62528,158,0
1504624253.27906,159,2
1504624256.84847,160,1
1504624260.05116,161,1
1504624263.50393,162,1
1504624266.9234,163,1
1504624270.5597,164,1
1504624274.01172,165,0
1504624277.26502,166,2
1504624280.71785,167,1
1504624283.92087,168,1
1504624287.53936,169,0
1504624291.12561,170,0
1504624294.39536,171,-1
1504624297.41404,172,0
1504624300.48313,173,0
1504624303.10197,174,0
1504624306.47201,175,2
1504624309.54104,176,2
1504624312.94386,177,1
1504624315.99629,178,1
1504624318.99815,179,0
1504624321.6842,180,2
1504624324.30236,181,0
1504624327.08862,182,2
1504624329.69013,183,0
1504624332.00938,184,1
1504624335.37862,185,1
1504624337.64719,186,2
1504624340.14925,187,1
1504624343.5179,188,0
1504624346.70455,189,2
1504624350.23999,190,0
1504624353.29309,191,2
1504624355.92872,192,2
1504624359.28138,193,1
1504624361.74932,194,0
1504624363.85176,195,-1
1504624367.22047,196,0
1504624370.39026,197,1
1504624373.44276,198,1
1504624376.68051,199,1
1504624379.74796,200,2
1504624382.81639,201,0
1504624385.51923,202,2
1504624388.15471,203,1
1504624391.39067,204,-2
1504624394.2596,205,-2
1504624397.12853,206,1
1504624399.4304,207,1
1504624401.51481,208,0
1504624403.08337,209,1
1504624404.91855,210,-3
1504624408.13758,211,-1
1504624410.98911,212,0
1504624414.02495,213,0
1504624416.84457,214,1
1504624419.69681,215,3
1504624422.7325,216,1
1504624425.41808,217,1
1504624428.57067,218,1
1504624430.88857,219,0
1504624433.8583,220,2
1504624436.54378,221,1
1504624439.12941,222,1
1504624440.93072,223,1
1504624443.38249,224,1
1504624445.50104,225,1
1504624447.78616,226,1
1504624449.95477,227,-1
1504624451.68938,228,-1
1504624453.60754,229,-1
1504624455.14206,230,2
1504624456.72613,231,0
1504624459.76262,232,1
1504624461.76419,233,2
1504624464.93336,234,1
1504624467.0518,235,2
1504624468.80319,236,1
1504624471.35468,237,0
1504624473.34019,238,1
1504624475.07421,239,0
1504624476.85972,240,1
1504624478.21081,241,1
1504624479.42785,242,0
1504624480.44604,243,1
1504624482.33014,244,0
1504624485.34927,245,0
1504624488.20228,246,1
1504624491.07118,247,1
1504624493.70662,248,2
1504624496.07865,249,0
1504624498.26035,250,1
1504624499.89436,251,0
1504624501.41286,252,1
1504624503.13094,253,-1
1504624504.54899,254,1
1504624505.61566,255,0
1504624506.58312,256,0
1504624509.38597,257,2
1504624511.65453,258,1
1504624513.55598,259,1
1504624516.17479,260,2
