Wall time,Step,Value
1504549089.76151,0,0
1504549093.95888,1,1
1504549097.57487,2,-1
1504549102.05586,3,-1
1504549106.38658,4,-3
1504549109.78489,5,-2
1504549113.29968,6,-3
1504549115.98074,7,0
1504549117.71427,8,-4
1504549120.37964,9,-2
1504549122.66113,10,0
1504549124.4609,11,1
1504549128.74178,12,-2
1504549131.90606,13,0
1504549135.77141,14,1
1504549139.31936,15,3
1504549141.48415,16,0
1504549144.38347,17,2
1504549145.58206,18,0
1504549146.79901,19,-2
1504549149.19758,20,-2
1504549149.93053,21,2
1504549153.92829,22,1
1504549155.57702,23,2
1504549156.52684,24,1
1504549159.57449,25,0
1504549160.0918,26,2
1504549160.80796,27,1
1504549161.04037,28,0
1504549165.60468,29,0
1504549170.11961,30,2
1504549174.84975,31,0
1504549179.58132,32,1
1504549184.34532,33,11
1504549188.64288,34,5
1504549192.92335,35,0
1504549197.03855,36,1
1504549201.03633,37,1
1504549204.56783,38,1
1504549207.61626,39,-1
1504549212.13033,40,-3
1504549215.76186,41,10
1504549219.94295,42,1
1504549223.90748,43,5
1504549226.58932,44,5
1504549229.92094,45,-2
1504549233.40236,46,3
1504549236.3842,47,8
1504549240.78175,48,1
1504549244.84894,49,5
1504549248.94402,50,6
1504549252.67542,51,1
1504549255.9569,52,1
1504549260.47128,53,2
1504549264.35238,54,14
1504549266.80114,55,-1
1504549270.88155,56,0
1504549274.74689,57,9
1504549278.59431,58,2
1504549282.82593,59,12
1504549286.45725,60,2
1504549289.83872,61,3
1504549293.12033,62,2
1504549297.21808,63,1
1504549301.08274,64,3
1504549305.13061,65,1
1504549309.22827,66,8
1504549313.10958,67,10
1504549316.62441,68,1
1504549320.8388,69,2
1504549325.08652,70,3
1504549328.71784,71,5
1504549332.34923,72,5
1504549335.84759,73,2
1504549338.99579,74,1
1504549341.91096,75,1
1504549346.22521,76,1
1504549349.83995,77,7
1504549353.80382,78,0
1504549357.80245,79,10
1504549361.68359,80,4
1504549365.16504,81,6
1504549369.16292,82,3
1504549372.81092,83,2
1504549376.42565,84,1
1504549380.48998,85,10
1504549384.60442,86,6
1504549388.85237,87,10
1504549393.20001,88,4
1504549397.23122,89,7
1504549401.34565,90,1
1504549405.59343,91,5
1504549409.22469,92,8
1504549413.505,93,0
1504549417.32044,94,-1
1504549421.41748,95,0
1504549425.06604,96,6
1504549428.46451,97,3
1504549431.84569,98,1
1504549435.81242,99,1
1504549439.54188,100,1
1504549443.38968,101,2
1504549447.62084,102,3
1504549451.73531,103,12
1504549455.36669,104,2
1504549459.64776,105,5
1504549463.52823,106,0
1504549467.76001,107,1
1504549471.54139,108,5
1504549475.77176,109,0
1504549479.75281,110,0
1504549483.61822,111,4
1504549487.38275,112,2
1504549490.78097,113,7
1504549494.62892,114,1
1504549498.51015,115,5
1504549501.90841,116,2
1504549506.00614,117,1
1504549510.10412,118,1
1504549514.00187,119,-1
1504549517.5166,120,-1
1504549521.96442,121,1
1504549525.59561,122,2
1504549529.11045,123,2
1504549533.42401,124,0
1504549537.2227,125,7
1504549541.53707,126,1
1504549545.58484,127,6
1504549549.44962,128,1
1504549552.84776,129,2
1504549556.17921,130,3
1504549560.12714,131,1
1504549564.17496,132,4
1504549567.92291,133,1
1504549571.67099,134,3
1504549575.16912,135,2
1504549579.11703,136,1
1504549583.1981,137,9
1504549587.46253,138,10
1504549591.81021,139,1
1504549596.07447,140,4
1504549599.70588,141,3
1504549603.45381,142,2
1504549606.75209,143,-1
1504549610.9325,144,0
1504549614.64791,145,-1
1504549617.74616,146,1
1504549621.69398,147,-1
1504549625.07576,148,3
1504549628.45853,149,0
1504549631.37148,150,0
1504549634.37065,151,-1
1504549637.03582,152,1
1504549640.73315,153,0
1504549643.51572,154,5
1504549647.08028,155,1
1504549648.81294,156,1
1504549652.1777,157,-2
1504549655.64261,158,4
1504549657.94136,159,1
1504549661.15634,160,1
1504549664.48768,161,3
1504549667.96926,162,5
1504549671.33415,163,1
1504549674.66562,164,4
1504549677.09776,165,3
1504549680.32856,166,0
