Wall time,Step,Value
1504299748.59548,18,0
1504299750.74712,42,0
1504299750.95349,45,-1
1504299751.748,56,0
1504299752.78216,71,0
1504299752.98226,74,0
1504299754.3169,94,0
1504299758.58414,155,1
1504299758.80354,158,0
1504299759.4209,167,0
1504299763.77233,229,-1
1504299764.15611,234,-1
1504299765.69257,255,0
1504299766.03344,260,0
1504299766.5098,267,0
1504299766.92704,273,0
1504299769.31208,308,0
1504299769.4531,310,0
1504299769.99598,318,0
1504299771.98091,347,0
1504299773.44634,367,-1
1504299777.23337,421,1
1504299777.30194,422,0
1504299778.75383,442,0
1504299780.04619,460,0
1504299780.30305,463,-1
1504299780.3884,464,0
1504299781.13913,474,0
1504299785.40915,536,0
1504299787.26066,563,0
1504299788.36159,579,0
1504299788.89255,586,-1
1504299788.96205,587,0
1504299791.42289,620,0
1504299792.4787,634,-1
1504299793.06545,642,0
1504299793.4324,647,0
1504299793.57956,649,-1
1504299794.46659,661,0
1504299795.18389,671,0
1504299798.13612,714,0
1504299798.68659,722,0
1504299799.22881,730,0
1504299801.16943,756,-1
1504299801.85289,765,-1
1504299802.15334,769,-1
1504299802.32019,771,-1
1504299803.3738,785,0
1504299803.52391,787,0
1504299803.90751,792,0
1504299804.05759,794,0
1504299804.65806,802,0
1504299805.10546,808,-1
1504299805.17522,809,0
1504299807.19346,836,0
1504299812.37675,909,-1
1504299814.84969,942,0
1504299815.06654,945,0
1504299816.34894,962,-1
1504299816.98479,971,0
1504299817.05153,972,0
1504299817.45191,978,0
1504299817.51855,979,0
1504299817.90211,984,0
1504299819.26997,1002,0
1504299819.50053,1005,-1
1504299820.18738,1014,0
1504299823.77351,1063,0
1504299823.99035,1066,0
1504299824.42417,1072,0
1504299824.84118,1078,0
1504299825.19132,1083,0
1504299825.92529,1093,0
1504299826.35907,1099,0
1504299826.70928,1104,0
1504299830.49568,1156,0
1504299830.86262,1161,0
1504299830.94338,1162,-1
1504299832.24403,1180,0
1504299833.19792,1193,0
1504299834.14862,1206,0
1504299836.93114,1244,-1
1504299838.18531,1261,0
1504299839.65315,1281,0
1504299840.58714,1294,0
1504299842.17175,1316,0
1504299842.3719,1319,0
1504299843.35607,1333,0
1504299843.63671,1337,-1
1504299847.15653,1385,-1
1504299847.59286,1391,0
1504299847.65955,1392,0
1504299849.24412,1414,0
1504299850.11147,1426,0
1504299850.84389,1436,-1
1504299853.06388,1466,0
1504299853.86461,1477,0
1504299854.43181,1485,0
1504299854.87943,1491,-1
1504299857.15059,1523,0
1504299857.4487,1527,-1
1504299859.2523,1552,0
1504299860.40315,1568,0
1504299860.46995,1569,0
1504299861.5708,1584,0
1504299861.85157,1588,-1
1504299863.07202,1605,0
1504299865.62147,1640,0
1504299866.18862,1648,-1
1504299867.62567,1668,0
1504299868.65989,1682,0
1504299869.32704,1691,0
1504299869.75871,1697,-1
1504299870.14445,1702,0
1504299870.64127,1709,-1
1504299871.31019,1718,-1
1504299872.37956,1732,0
1504299872.52968,1734,0
1504299872.74653,1737,0
1504299873.41387,1746,0
1504299875.48204,1775,0
1504299875.89905,1781,0
1504299877.60042,1805,0
1504299879.05159,1826,0
1504299880.28595,1844,0
1504299880.91987,1853,0
1504299881.80383,1866,0
1504299882.0207,1869,0
1504299882.65457,1877,0
1504299885.53745,1917,-1
1504299886.72447,1934,0
1504299887.40835,1944,0
1504299887.60853,1947,0
1504299889.00967,1967,0
1504299890.11054,1983,0
1504299891.39491,2001,0
1504299892.21223,2013,0
1504299893.4636,2030,0
1504299893.8969,2036,0
1504299895.64916,2060,0
1504299896.68255,2073,0
1504299896.88272,2076,0
1504299896.9495,2077,0
1504299897.51659,2085,0
1504299897.78346,2089,0
1504299898.28381,2096,0
1504299901.70325,2145,0
1504299901.98681,2149,0
1504299902.5012,2156,-1
1504299903.15443,2165,0
1504299904.78602,2187,-1
1504299905.08928,2191,0
1504299905.65644,2199,0
1504299906.25416,2207,-1
1504299906.5543,2211,-1
1504299908.02062,2231,-1
1504299908.3753,2236,0
1504299908.442,2237,0
1504299908.82297,2242,-1
1504299909.69044,2254,-1
1504299909.90708,2257,-1
1504299910.2769,2262,0
1504299911.66128,2281,0
1504299912.8263,2297,1
1504299913.54617,2307,0
1504299914.3635,2319,0
1504299916.28177,2345,0
1504299916.89887,2354,0
1504299919.33414,2389,0
1504299919.41862,2390,0
1504299919.56769,2392,0
1504299922.58684,2436,0
1504299923.15109,2444,-1
