Wall time,Step,Value
1504737173.07433,0,0
1504737176.32694,1,0
1504737180.23086,2,-3
1504737182.94904,3,0
1504737186.02081,4,-5
1504737189.63865,5,1
1504737192.84308,6,1
1504737195.47584,7,0
1504737197.42734,8,0
1504737200.61391,9,-1
1504737203.09886,10,0
1504737206.03535,11,-1
1504737208.23712,12,1
1504737209.95524,13,-1
1504737212.24035,14,-1
1504737213.6749,15,-1
1504737215.64243,16,0
1504737217.9776,17,0
1504737221.16352,18,0
1504737223.1158,19,3
1504737225.25018,20,0
1504737227.0016,21,0
1504737228.75369,22,2
1504737230.27154,23,1
1504737231.45599,24,1
1504737232.03899,25,0
1504737232.99037,26,-1
1504737233.57346,27,0
1504737233.77373,28,0
1504737237.46,29,0
1504737241.26312,30,0
1504737244.89936,31,0
1504737248.48642,32,3
1504737251.93897,33,2
1504737254.64061,34,0
1504737257.90989,35,0
1504737261.11327,36,2
1504737264.14901,37,2
1504737266.09983,38,0
1504737269.1023,39,0
1504737272.45579,40,2
1504737276.19207,41,5
1504737279.82828,42,9
1504737281.6124,43,0
1504737285.04851,44,0
1504737288.66884,45,4
1504737291.75475,46,2
1504737295.5244,47,1
1504737298.35929,48,0
1504737300.89791,49,1
1504737302.81286,50,0
1504737306.36649,51,-1
1504737309.76923,52,1
1504737313.30547,53,-1
1504737315.04018,54,1
1504737318.39287,55,-1
1504737321.37777,56,0
1504737323.6138,57,-1
1504737326.93309,58,1
1504737328.46773,59,3
1504737329.78471,60,0
1504737332.63701,61,0
1504737335.94031,62,1
1504737339.44329,63,4
1504737342.57838,64,0
1504737343.56245,65,0
1504737346.23128,66,0
1504737348.96766,67,3
1504737351.61969,68,2
1504737354.18851,69,4
1504737357.10679,70,0
1504737360.05989,71,4
1504737362.54522,72,4
1504737364.84633,73,0
1504737367.49846,74,0
1504737370.23478,75,1
1504737372.86951,76,0
1504737375.33902,77,3
1504737377.25636,78,0
1504737379.17459,79,0
1504737380.40895,80,0
1504737382.01033,81,0
1504737383.91175,82,0
1504737385.29622,83,0
1504737386.8141,84,0
1504737388.18193,85,0
1504737390.96744,86,0
1504737392.55278,87,2
1504737395.35496,88,1
1504737396.90643,89,4
1504737398.09062,90,2
1504737399.99217,91,4
1504737401.57684,92,1
1504737404.37829,93,0
1504737405.98041,94,5
1504737407.14721,95,0
1504737408.29814,96,0
1504737409.68261,97,0
1504737411.05122,98,-1
1504737411.87041,99,1
1504737412.66834,100,0
1504737413.43561,101,0
1504737415.85425,102,0
1504737418.10686,103,7
1504737420.54135,104,0
1504737421.85983,105,5
1504737424.14509,106,2
1504737425.34531,107,0
1504737427.63046,108,0
1504737429.96642,109,6
1504737432.40174,110,2
1504737434.03648,111,2
1504737436.47096,112,0
1504737437.6393,113,2
1504737439.97376,114,0
1504737442.32642,115,3
1504737444.87847,116,2
1504737447.13028,117,3
1504737449.29875,118,1
1504737451.03344,119,1
1504737452.93492,120,1
1504737454.51886,121,0
1504737455.31949,122,0
1504737457.05496,123,-1
1504737458.422,124,0
1504737459.92395,125,1
1504737460.90805,126,1
1504737462.22504,127,0
1504737463.34329,128,1
1504737464.29395,129,1
1504737464.86055,130,0
1504737465.79452,131,0
1504737466.36173,132,0
1504737466.54519,133,0
1504737470.39831,134,0
1504737474.21873,135,1
1504737477.68832,136,1
1504737481.30717,137,0
1504737484.57721,138,1
1504737487.97926,139,0
1504737491.36603,140,2
1504737494.45112,141,0
1504737497.45439,142,1
1504737500.45598,143,0
1504737503.25829,144,0
1504737505.86115,145,1
1504737508.46238,146,0
1504737512.01601,147,1
1504737515.38541,148,3
1504737518.08977,149,4
1504737520.70568,150,0
1504737522.64056,151,0
1504737525.95994,152,0
1504737529.17992,153,3
1504737532.2324,154,4
1504737535.46761,155,0
1504737538.45421,156,4
1504737541.32233,157,0
1504737543.9585,158,2
1504737547.01099,159,2
1504737549.3296,160,-1
1504737552.18103,161,0
1504737554.63376,162,2
1504737557.05244,163,1
1504737560.00494,164,1
1504737562.58956,165,0
1504737564.69121,166,0
1504737566.87638,167,0
1504737568.69523,168,1
1504737570.49593,169,0
1504737572.96536,170,1
1504737574.70007,171,1
1504737577.16799,172,0
1504737579.60407,173,3
1504737581.9552,174,0
1504737584.12427,175,1
1504737586.00917,176,-1
1504737587.72651,177,0
1504737589.14433,178,0
1504737591.21267,179,0
1504737593.13155,180,3
1504737594.64943,181,-1
1504737596.60104,182,-1
1504737597.9521,183,-1
1504737599.57017,184,1
1504737600.72034,185,0
1504737601.48763,186,0
1504737602.63857,187,0
1504737603.59004,188,1
1504737604.89116,189,-1
1504737605.6743,190,0
1504737606.05798,191,0
1504737606.80933,192,1
1504737607.19216,193,0
1504737611.02871,194,0
1504737614.64833,195,0
1504737618.0851,196,-1
1504737621.10345,197,0
1504737624.74047,198,1
1504737628.51218,199,1
1504737632.09645,200,1
1504737634.932,201,2
1504737638.01716,202,0
1504737641.08702,203,1
1504737644.4899,204,1
1504737648.05935,205,1
1504737651.07854,206,1
1504737653.96339,207,0
1504737656.61611,208,1
1504737660.00157,209,0
1504737663.37175,210,3
1504737666.07406,211,-1
1504737668.69199,212,0
1504737671.29408,213,0
1504737673.56257,214,0
1504737675.31398,215,0
1504737678.63411,216,-1
1504737681.56973,217,-1
1504737683.30443,218,1
1504737685.20529,219,0
1504737688.12436,220,0
1504737691.07754,221,1
1504737693.74551,222,0
1504737696.4978,223,0
1504737698.98376,224,1
1504737701.76944,225,3
1504737703.90366,226,0
1504737706.65598,227,0
1504737709.47562,228,3
1504737712.26125,229,3
1504737714.5624,230,0
1504737717.23117,231,0
1504737719.53367,232,6
1504737722.10255,233,1
1504737724.22091,234,1
1504737725.9722,235,1
1504737727.95656,236,0
1504737729.75805,237,0
1504737731.12576,238,0
1504737733.62779,239,0
1504737736.14723,240,3
1504737738.61586,241,4
1504737741.16801,242,5
1504737743.73665,243,1
1504737746.08854,244,3
1504737748.69073,245,3
1504737751.35947,246,3
1504737753.79446,247,3
1504737755.72896,248,0
1504737757.83332,249,1
1504737759.74887,250,0
1504737761.65111,251,-1
1504737763.20239,252,1
1504737764.98646,253,0
1504737765.97055,254,0
1504737767.35575,255,-1
1504737768.173,256,-1
1504737769.30654,257,0
1504737770.99129,258,0
1504737772.30899,259,0
1504737773.42659,260,0
1504737774.17718,261,0
1504737776.76263,262,0
1504737779.18192,263,4
1504737779.7658,264,2
1504737781.81671,265,0
1504737783.9025,266,1
1504737785.42032,267,1
1504737786.55383,268,0
1504737787.17108,269,0
1504737789.05661,270,-1
1504737790.74133,271,1
1504737791.89149,272,0
1504737793.59291,273,0
1504737795.1282,274,1
1504737796.64539,275,0
1504737797.41266,276,0
1504737798.94727,277,0
1504737800.49915,278,3
1504737802.00038,279,3
