Wall time,Step,Value
1504719336.15632,0,0
1504719339.30712,1,1
1504719342.72912,2,-2
1504719346.2986,3,-2
1504719349.15113,4,1
1504719352.03758,5,-2
1504719354.37185,6,-1
1504719357.57453,7,-1
1504719360.44284,8,0
1504719363.06176,9,0
1504719366.76551,10,-1
1504719370.10156,11,3
1504719372.60367,12,1
1504719374.90535,13,1
1504719378.09067,14,0
1504719380.91031,15,3
1504719383.31151,16,0
1504719386.0478,17,-2
1504719389.10024,18,3
1504719391.96921,19,2
1504719394.67138,20,2
1504719397.17349,21,2
1504719399.80821,22,0
1504719402.12676,23,0
1504719404.16248,24,-1
1504719406.91483,25,-1
1504719409.40002,26,1
1504719411.68529,27,2
1504719414.32071,28,2
1504719416.63924,29,4
1504719418.67432,30,1
1504719421.30956,31,-1
1504719423.59475,32,1
1504719426.16353,33,1
1504719427.71403,34,0
1504719428.53212,35,-2
1504719430.51728,36,-3
1504719432.8683,37,0
1504719434.23666,38,2
1504719436.32181,39,-1
1504719438.29013,40,2
1504719440.44118,41,0
1504719442.34259,42,0
1504719443.87721,43,0
1504719446.14651,44,-1
1504719448.51501,45,2
1504719450.49925,46,0
1504719452.58427,47,0
1504719454.56981,48,2
1504719456.18987,49,0
1504719457.97195,50,0
1504719460.107,51,0
1504719462.02593,52,2
1504719464.17759,53,1
1504719466.17923,54,3
1504719468.2811,55,1
1504719470.44932,56,1
1504719472.35088,57,2
1504719473.95224,58,2
1504719475.53682,59,-1
1504719476.7538,60,0
1504719477.77208,61,-3
1504719479.67346,62,-2
1504719481.04129,63,2
1504719482.59188,64,0
1504719484.29323,65,0
1504719485.61088,66,0
1504719487.11276,67,1
1504719488.61407,68,2
1504719490.18132,69,0
1504719491.74996,70,1
1504719492.90008,71,0
1504719493.71817,72,-3
1504719495.21935,73,-2
1504719496.37033,74,1
1504719497.87163,75,2
1504719498.98906,76,1
1504719499.38871,77,0
1504719503.24189,78,0
1504719506.52858,79,2
1504719510.33167,80,-1
1504719513.83457,81,1
1504719517.22053,82,-1
1504719520.85689,83,-2
1504719524.42628,84,2
1504719527.27862,85,2
1504719530.8816,86,-2
1504719534.65133,87,1
1504719537.00318,88,2
1504719540.07222,89,-4
1504719543.27489,90,-2
1504719546.27733,91,1
1504719549.66349,92,-1
1504719553.09958,93,-1
1504719555.4347,94,2
1504719557.5365,95,-1
1504719560.97266,96,-2
1504719564.22523,97,3
1504719567.24428,98,1
1504719570.43233,99,2
1504719573.7996,100,2
1504719576.86875,101,3
1504719580.25483,102,1
1504719583.64092,103,2
1504719586.71005,104,1
1504719589.89591,105,2
1504719592.59815,106,1
1504719595.95079,107,2
1504719598.83653,108,3
1504719601.35507,109,-1
1504719603.79049,110,-2
1504719606.04227,111,-2
1504719608.54438,112,-2
1504719611.86301,113,0
1504719614.1322,114,3
1504719617.55157,115,-1
1504719620.25389,116,3
1504719623.60655,117,1
1504719626.05778,118,0
1504719628.92756,119,1
1504719631.24534,120,0
1504719633.33102,121,-1
1504719636.55037,122,-1
1504719638.96908,123,2
1504719642.18749,124,0
1504719645.24066,125,3
1504719648.79372,126,2
1504719651.22879,127,2
1504719654.79849,128,-4
1504719658.40137,129,4
1504719661.30358,130,4
1504719664.68905,131,0
1504719667.75891,132,2
1504719670.64384,133,0
1504719673.69631,134,0
1504719677.13242,135,0
1504719679.81856,136,3
1504719682.43752,137,-2
1504719685.43915,138,0
1504719688.59235,139,2
1504719691.66156,140,5
1504719694.11355,141,1
1504719697.2995,142,-1
1504719700.31856,143,2
1504719703.13758,144,1
1504719705.77288,145,1
1504719708.9255,146,1
1504719712.12802,147,3
1504719714.94699,148,1
1504719717.75316,149,-1
1504719720.25048,150,0
1504719722.38639,151,-1
1504719724.32125,152,-2
1504719727.45709,153,-5
1504719729.59219,154,2
1504719732.54387,155,0
1504719735.29675,156,1
1504719738.14915,157,1
1504719741.01809,158,2
1504719743.62016,159,1
1504719745.8887,160,1
1504719749.02468,161,2
1504719751.64338,162,4
1504719754.09459,163,0
1504719756.51326,164,0
1504719759.64986,165,-1
1504719762.80238,166,3
1504719765.57128,167,3
1504719768.0566,168,2
1504719771.00899,169,1
1504719773.89464,170,3
1504719776.697,171,2
1504719779.49918,172,1
1504719782.1847,173,1
1504719784.68665,174,1
1504719787.32221,175,1
1504719789.99087,176,1
1504719792.97662,177,4
1504719796.17924,178,4
1504719799.58213,179,2
1504719803.30174,180,3
1504719806.70449,181,1
1504719810.32407,182,2
1504719813.76019,183,2
1504719817.02939,184,3
1504719820.4656,185,2
1504719823.73489,186,1
1504719827.00415,187,-1
1504719830.07335,188,1
1504719833.62634,189,-2
1504719836.84554,190,2
1504719840.29831,191,-1
1504719843.73436,192,2
1504719847.30397,193,2
1504719850.37307,194,2
1504719853.62573,195,2
1504719856.69486,196,2
1504719859.56383,197,1
1504719862.73319,198,1
1504719865.80441,199,1
1504719868.9881,200,2
1504719872.05716,201,1
1504719874.87635,202,1
1504719878.04547,203,1
1504719880.73096,204,1
1504719883.59998,205,-1
1504719886.28548,206,1
1504719888.7708,207,1
1504719891.4397,208,1
1504719894.49214,209,2
1504719897.09419,210,2
1504719899.87915,211,0
1504719902.38178,212,1
1504719904.65024,213,-1
1504719906.48521,214,-1
1504719908.97048,215,-1
1504719910.88869,216,-2
1504719912.69019,217,-1
1504719915.52501,218,0
1504719917.71085,219,3
1504719919.52895,220,1
1504719922.16379,221,0
1504719923.99939,222,2
1504719927.11782,223,0
1504719930.17089,224,3
1504719932.58964,225,1
1504719934.64053,226,0
1504719937.67698,227,-2
1504719940.79614,228,1
1504719944.03214,229,2
1504719946.534,230,2
1504719949.58595,231,0
1504719952.40547,232,1
1504719954.82406,233,-2
1504719957.8767,234,-1
1504719960.29526,235,2
1504719962.31361,236,1
1504719964.33197,237,-2
1504719966.81656,238,0
1504719968.45124,239,0
1504719970.06924,240,0
1504719971.22087,241,-1
1504719971.888,242,-1
1504719973.28919,243,-4
1504719974.99045,244,-2
1504719978.02563,245,0
1504719980.89535,246,4
1504719982.24638,247,-1
1504719985.11586,248,-1
1504719987.81936,249,3
1504719990.086,250,1
1504719991.80406,251,1
1504719993.30532,252,-1
1504719994.30609,253,-1
1504719995.4403,254,-2
1504719996.04014,255,0
1504719996.24091,256,-1
1504719999.85992,257,0
1504720003.51355,258,2
1504720007.3333,259,1
1504720010.80276,260,1
1504720014.00545,261,1
1504720017.22466,262,-1
1504720020.81082,263,-1
1504720024.08012,264,1
1504720027.33281,265,3
1504720030.71819,266,0
1504720034.17165,267,3
1504720037.62449,268,2
1504720040.87698,269,1
1504720043.72952,270,1
1504720047.11548,271,-1
1504720050.13458,272,2
1504720053.13698,273,1
1504720055.60554,274,-1
1504720058.67477,275,-1
1504720061.69395,276,1
1504720064.37939,277,1
1504720067.53199,278,-1
1504720070.41767,279,2
1504720072.93566,280,0
1504720075.98879,281,1
1504720078.85776,282,2
1504720081.69349,283,2
1504720084.39557,284,-1
1504720087.46402,285,0
1504720090.66728,286,1
1504720094.10345,287,2
1504720097.17251,288,2
1504720100.20833,289,1
1504720103.46101,290,-1
1504720106.66357,291,1
1504720109.86621,292,2
1504720113.25223,293,2
1504720116.32156,294,2
1504720119.55735,295,2
1504720122.84333,296,2
1504720126.09595,297,2
1504720129.3152,298,2
1504720132.58635,299,1
1504720135.4202,300,2
1504720138.30514,301,0
1504720141.37496,302,2
1504720144.57746,303,2
1504720147.66329,304,2
1504720150.49899,305,2
1504720153.75167,306,-2
1504720156.93756,307,1
1504720160.14013,308,2
1504720162.84233,309,2
1504720166.09429,310,0
1504720168.59632,311,0
1504720171.59933,312,-1
1504720174.28497,313,2
1504720177.25328,314,0
1504720179.70585,315,1
1504720182.29075,316,0
1504720185.14299,317,0
1504720187.81184,318,0
1504720190.44782,319,2
1504720192.66597,320,0
1504720195.15173,321,-1
1504720197.35362,322,2
1504720199.35515,323,-1
1504720201.29006,324,-1
1504720203.75806,325,0
1504720205.8771,326,4
1504720208.1616,327,0
1504720210.16325,328,0
1504720212.71605,329,-2
1504720214.45069,330,2
1504720217.00281,331,2
1504720219.48807,332,2
1504720221.85604,333,0
1504720224.40877,334,2
1504720227.21103,335,3
1504720229.87983,336,1
1504720232.53132,337,0
1504720234.79977,338,0
1504720237.00228,339,1
1504720239.00323,340,0
1504720241.62196,341,0
1504720244.10733,342,0
1504720246.69356,343,1
1504720249.32813,344,0
