Wall time,Step,Value
1504292229.27116,18,0
1504292229.82176,24,0
1504292231.25609,40,0
1504292231.43957,42,0
1504292231.70645,45,0
1504292232.72383,56,0
1504292234.09186,71,0
1504292234.65886,74,0
1504292236.51024,94,0
1504292237.4875,102,-1
1504292237.87824,106,0
1504292239.77447,126,-1
1504292242.6486,155,0
1504292242.94876,158,0
1504292243.76631,167,0
1504292245.21733,183,0
1504292245.40074,185,0
1504292249.45418,229,0
1504292249.90442,234,0
1504292251.2556,249,0
1504292251.78933,255,0
1504292252.29355,260,-1
1504292252.9707,267,-1
1504292253.55756,273,0
1504292255.242,292,0
1504292256.72666,308,0
1504292256.9011,310,0
1504292257.61069,318,0
1504292259.66011,339,-1
1504292260.46361,347,0
1504292262.01497,363,0
1504292262.41532,367,0
1504292267.63617,421,0
1504292267.73294,422,-1
1504292269.46619,439,-1
1504292269.75446,442,0
1504292270.06883,445,-1
1504292271.54736,460,0
1504292271.82287,463,0
1504292271.90627,464,0
1504292272.90711,474,0
1504292274.72522,493,0
1504292276.64343,514,0
1504292278.27808,531,0
1504292278.74516,536,0
1504292281.3807,563,0
1504292282.29799,573,0
1504292282.84844,579,0
1504292283.51565,586,0
1504292283.61574,587,0
1504292286.8442,620,0
1504292287.03518,622,0
1504292288.2162,634,-1
1504292288.90338,641,0
1504292289.0169,642,-1
1504292289.23385,644,-1
1504292289.52052,647,0
1504292289.73397,649,-1
1504292290.87163,661,0
1504292291.78902,671,0
1504292295.82566,714,0
1504292296.17589,718,0
1504292296.5595,722,0
1504292297.39943,730,-1
1504292298.29423,739,0
1504292299.56196,752,0
1504292299.94566,756,0
1504292300.84299,765,1
1504292301.23002,769,0
1504292301.44684,771,0
1504292301.66369,773,0
1504292302.32475,780,0
1504292302.7813,785,0
1504292302.98141,787,0
1504292303.41497,792,0
1504292303.58188,794,0
1504292303.96552,798,0
1504292304.3632,802,1
1504292304.96636,808,0
1504292305.07965,809,1
1504292307.33483,832,0
1504292307.71855,836,0
1504292310.77105,869,0
1504292311.42154,876,0
1504292312.01872,882,-1
1504292313.38978,896,0
1504292313.76859,900,0
1504292314.42384,907,0
1504292314.60748,909,0
