Wall time,Step,Value
1504279743.25147,0,200
1504279792.77378,1,390
1504279838.26046,2,290
1504279877.4421,3,180
1504279928.39989,4,190
1504279988.90022,5,420
1504280063.46774,6,530
1504280127.70525,7,540
1504280191.2302,8,550
1504280237.42788,9,470
1504280316.07944,10,1400
1504280359.89737,11,410
1504280390.87448,12,260
1504280470.70502,13,660
1504280538.95896,14,490
1504280574.45594,15,280
1504280624.4288,16,200
