Wall time,Step,Value
1504547456.63776,0,0
1504547461.00199,1,0
1504547465.24643,2,-1
1504547469.51631,3,-1
1504547473.41692,4,-1
1504547477.18198,5,-3
1504547480.57969,6,-2
1504547485.26109,7,-3
1504547489.35945,8,1
1504547492.94077,9,-6
1504547496.03911,10,1
1504547498.23807,11,-2
1504547500.33698,12,-4
1504547502.76898,13,-3
1504547505.75122,14,-1
1504547507.21624,15,-4
1504547508.46612,16,-2
1504547510.63193,17,-1
1504547512.16463,18,1
1504547512.98119,19,-1
1504547514.26414,20,-2
1504547515.24495,21,0
1504547515.49421,22,0
1504547520.34212,23,-1
1504547524.63985,24,0
1504547528.30405,25,0
1504547531.90444,26,-3
1504547535.00253,27,-4
1504547537.86776,28,-2
1504547540.33384,29,1
1504547541.84995,30,-3
1504547543.24925,31,-2
1504547545.39805,32,-5
1504547546.43102,33,-2
1504547548.3299,34,-4
1504547550.02903,35,1
1504547551.47856,36,-1
1504547552.6778,37,-1
1504547553.41092,38,1
1504547554.36114,39,-1
1504547554.84173,40,0
1504547559.63929,41,0
1504547564.15293,42,0
1504547567.80443,43,1
1504547570.86864,44,-5
1504547573.53334,45,-5
1504547575.6829,46,1
1504547577.24811,47,-5
1504547579.01378,48,-5
1504547580.53955,49,0
1504547581.52903,50,-4
1504547582.72823,51,-3
1504547583.69474,52,-3
1504547584.1922,53,0
1504547588.84003,54,0
1504547593.35599,55,-1
1504547597.87038,56,1
1504547601.66848,57,1
1504547604.6334,58,-2
1504547607.34899,59,-4
1504547609.13146,60,-2
1504547610.44792,61,-4
1504547611.59701,62,-1
1504547612.56284,63,-3
1504547614.52888,64,-2
1504547615.2446,65,1
1504547615.72817,66,-1
1504547620.59001,67,-1
1504547624.95465,68,0
1504547629.5534,69,-1
1504547633.61796,70,-5
1504547636.79977,71,1
1504547641.04764,72,-3
1504547643.69395,73,0
1504547645.9445,74,-4
1504547648.06092,75,-4
1504547649.54134,76,0
1504547650.5403,77,0
1504547651.17541,78,-1
1504547655.82056,79,0
1504547660.20392,80,-1
1504547665.01758,81,1
1504547668.91585,82,1
1504547673.39674,83,1
1504547677.64435,84,-1
1504547681.29306,85,1
1504547684.92339,86,1
1504547687.85346,87,0
1504547690.20455,88,-2
1504547691.48726,89,-3
1504547692.15327,90,-2
1504547696.94867,91,-1
1504547701.47989,92,0
1504547705.37757,93,0
1504547709.91088,94,-1
1504547714.50836,95,1
1504547718.38928,96,-1
1504547722.50292,97,1
1504547726.26797,98,1
1504547729.57323,99,-1
1504547732.2652,100,-5
1504547734.58057,101,-4
1504547736.54644,102,-4
1504547737.34535,103,-3
1504547737.60993,104,0
1504547742.19067,105,0
1504547746.24097,106,1
1504547751.07187,107,-3
1504547755.56897,108,1
1504547759.40141,109,1
1504547763.46517,110,-1
1504547766.88008,111,-1
1504547771.11083,112,1
1504547774.69268,113,1
1504547778.67339,114,1
1504547782.28825,115,-1
1504547785.17023,116,-2
1504547787.569,117,-5
1504547790.56733,118,-3
1504547793.3151,119,1
1504547795.74793,120,-4
1504547797.68008,121,-1
1504547800.12681,122,0
1504547801.41166,123,1
1504547801.97609,124,0
1504547806.50673,125,-1
1504547811.33975,126,-1
1504547815.85341,127,1
1504547819.88538,128,1
1504547823.91727,129,-1
1504547827.54702,130,-5
1504547831.07888,131,-4
1504547834.82658,132,-3
1504547837.70835,133,-2
1504547840.62323,134,-1
1504547843.53895,135,1
1504547845.93776,136,-3
1504547847.86916,137,-3
1504547849.90227,138,-3
1504547851.38492,139,-3
1504547852.20069,140,-1
1504547852.45092,141,-1
1504547857.24585,142,0
1504547861.77891,143,1
1504547866.52668,144,1
1504547870.79124,145,-1
1504547874.45541,146,1
1504547878.70351,147,1
1504547882.58435,148,-2
1504547885.87311,149,1
1504547890.33007,150,-2
1504547893.84505,151,1
1504547896.7269,152,-1
1504547899.13972,153,0
1504547901.07439,154,-4
1504547902.35676,155,-3
1504547904.75634,156,-3
1504547906.93797,157,-3
1504547908.50436,158,-3
1504547909.28676,159,-2
1504547909.53492,160,0
1504547914.18292,161,-1
1504547918.93157,162,1
1504547923.2935,163,0
1504547927.7939,164,-1
1504547932.05828,165,4
1504547936.07034,166,0
1504547939.87057,167,-3
1504547943.86852,168,-1
1504547947.38085,169,0
1504547950.54774,170,-6
1504547954.17948,171,-6
1504547957.09383,172,1
1504547960.72603,173,-5
1504547963.72403,174,1
1504547966.40662,175,-8
1504547968.60609,176,-9
1504547970.80364,177,-4
1504547972.37019,178,-3
1504547973.35336,179,-2
1504547974.10234,180,-3
1504547974.35018,181,0
1504547978.93059,182,0
1504547983.76366,183,1
1504547988.35904,184,0
1504547992.62346,185,0
1504547996.98953,186,-5
1504548000.63813,187,-5
1504548004.45221,188,-2
1504548008.0817,189,0
1504548011.4631,190,0
1504548015.44661,191,4
1504548018.37778,192,1
1504548021.95756,193,0
1504548025.22439,194,1
1504548027.77287,195,-1
1504548029.93879,196,-2
1504548031.52175,197,1
1504548032.55391,198,-4
1504548033.59332,199,-1
1504548035.7851,200,-2
1504548037.46771,201,-4
1504548038.68414,202,-1
1504548039.94946,203,-2
1504548040.48296,204,1
1504548045.12867,205,0
1504548049.64267,206,0
1504548054.24013,207,0
1504548058.73996,208,1
1504548062.63803,209,-5
1504548066.70227,210,-1
1504548070.05039,211,4
1504548074.16502,212,-3
1504548077.97964,213,-1
1504548081.37743,214,-3
1504548085.00886,215,1
