Wall time,Step,Value
1504647160.70524,0,0
1504647164.67624,1,-1
1504647167.57984,2,-9
1504647171.03504,3,-12
1504647174.13857,4,-7
1504647177.52392,5,-11
1504647180.05917,6,-13
1504647182.96213,7,-10
1504647185.48046,8,-7
1504647187.56559,9,-1
1504647190.53533,10,-9
1504647192.25386,11,-6
1504647193.42167,12,-1
1504647194.95603,13,-6
1504647197.33909,14,0
1504647199.07395,15,0
1504647199.85776,16,0
1504647200.66064,17,-3
1504647201.84466,18,-3
1504647204.18027,19,-2
1504647205.89672,20,0
1504647206.74748,21,0
1504647207.21694,22,-1
1504647207.44782,23,0
1504647210.95057,24,-1
1504647214.02235,25,-1
1504647216.57411,26,-6
1504647218.5591,27,-2
1504647220.32754,28,-4
1504647221.57887,29,-2
1504647222.41265,30,-4
1504647222.9138,31,-2
1504647223.21393,32,-1
1504647226.73098,33,-1
1504647229.80217,34,-1
1504647232.5386,35,-2
1504647234.72361,36,-8
1504647236.64115,37,-8
1504647237.84256,38,-4
1504647239.07734,39,-2
1504647240.07798,40,-3
1504647240.87896,41,-3
1504647244.49831,42,-4
1504647246.56404,43,0
1504647248.06823,44,-1
1504647248.36614,45,0
1504647252.23621,46,-1
1504647255.85735,47,3
1504647258.57681,48,5
1504647260.88944,49,-1
1504647262.89684,50,-8
1504647265.01446,51,-9
1504647266.58244,52,-8
1504647267.78457,53,-5
1504647268.76785,54,-4
1504647269.21827,55,-2
1504647270.73615,56,-2
1504647271.90501,57,-5
1504647272.30256,58,0
1504647276.00474,59,-1
1504647279.6077,60,0
1504647282.32659,61,0
1504647285.98205,62,-5
1504647289.20046,63,10
1504647291.85312,64,-4
1504647295.27254,65,-1
1504647297.25741,66,4
1504647298.67479,67,-7
1504647299.84296,68,-4
1504647300.72713,69,-3
1504647301.17711,70,-2
1504647301.69441,71,-1
1504647305.39538,72,0
1504647308.98388,73,1
1504647312.23468,74,0
1504647315.70563,75,-5
1504647318.37516,76,5
1504647321.04337,77,-6
1504647324.0787,78,-5
1504647327.83188,79,-1
1504647330.4846,80,4
1504647333.85417,81,-8
1504647336.54006,82,-3
1504647338.49117,83,-2
1504647340.0754,84,-8
1504647341.35978,85,-6
1504647342.3438,86,-4
1504647343.17796,87,-3
1504647343.77819,88,-3
1504647343.97863,89,-1
1504647347.61352,90,-1
1504647351.26742,91,1
1504647355.05474,92,1
1504647358.33994,93,2
1504647361.37598,94,-2
1504647364.09499,95,-1
1504647367.69782,96,-4
1504647370.53302,97,1
1504647373.60226,98,1
1504647377.229,99,-4
1504647379.17345,100,6
1504647380.57459,101,-1
1504647381.72527,102,-5
1504647382.47629,103,-3
1504647382.7596,104,-1
1504647386.07752,105,-1
1504647389.89846,106,-1
1504647393.36832,107,2
1504647396.9542,108,3
1504647400.59054,109,2
1504647403.69367,110,1
1504647406.79596,111,1
1504647410.38179,112,1
1504647412.85069,113,2
1504647415.36922,114,-2
1504647418.43665,115,0
1504647421.69152,116,3
1504647423.52637,117,-1
1504647424.92771,118,-7
1504647425.92806,119,-5
1504647426.86194,120,-4
1504647427.32917,121,-2
1504647430.96346,122,-2
1504647434.25103,123,1
1504647437.67058,124,-1
1504647441.42427,125,-2
1504647445.07502,126,0
1504647448.161,127,0
1504647451.69876,128,-1
1504647454.96816,129,-1
1504647458.0039,130,6
1504647460.9062,131,2
1504647463.42473,132,1
1504647466.24415,133,2
1504647468.92929,134,2
1504647472.28222,135,2
1504647474.60065,136,2
1504647476.65276,137,-1
1504647478.22078,138,-4
1504647479.30441,139,-5
1504647479.95463,140,-3
1504647480.15486,141,-1
1504647483.83921,142,-1
1504647487.31052,143,1
1504647491.13074,144,-1
1504647494.73412,145,1
1504647498.23619,146,-2
1504647501.25551,147,1
1504647504.82514,148,2
1504647507.36871,149,1
1504647510.4298,150,-2
1504647513.79942,151,-1
1504647517.1014,152,2
1504647519.6202,153,1
1504647522.67274,154,1
1504647525.32494,155,3
1504647527.56028,156,-1
1504647529.77849,157,-4
1504647531.34724,158,-3
1504647532.614,159,-3
1504647533.49818,160,-1
1504647534.13215,161,-2
1504647534.3994,162,-1
