Wall time,Step,Value
1504645041.53148,0,10
1504645158.91545,1,23
1504645302.30614,2,25
1504645422.82272,3,58
1504645529.82733,4,130
1504645626.20747,5,163
1504645712.88368,6,191
1504645797.97528,7,193
