Wall time,Step,Value
1504650226.06528,0,-1
1504650229.74507,1,-1
1504650232.95639,2,-2
1504650236.04484,3,-2
1504650239.68132,4,-2
1504650243.06695,5,-2
1504650246.25343,6,2
1504650249.07222,7,2
1504650251.34112,8,-3
1504650253.29208,9,-9
1504650254.97818,10,-7
1504650256.16229,11,-4
1504650257.93056,12,-8
1504650258.73107,13,-2
1504650259.73213,14,-4
1504650260.99975,15,-4
1504650262.73278,16,0
1504650263.40251,17,-2
1504650264.40289,18,-5
1504650265.92139,19,-8
1504650266.87218,20,-2
1504650267.43921,21,-3
1504650267.82291,22,-2
1504650271.49034,23,-1
1504650274.57838,24,-2
1504650276.93084,25,-10
1504650278.91541,26,-5
1504650280.33353,27,-4
1504650281.88493,28,-6
1504650282.76897,29,-4
1504650283.58619,30,-3
1504650284.93832,31,-4
1504650285.35307,32,0
1504650288.98872,33,0
1504650292.34318,34,2
1504650295.06287,35,3
1504650297.43154,36,8
1504650301.017,37,-7
1504650304.36994,38,7
1504650307.07244,39,10
1504650309.42477,40,4
1504650311.34232,41,2
1504650313.04416,42,-1
1504650314.74596,43,-7
1504650315.91325,44,-3
1504650316.83061,45,-1
1504650317.46462,46,-2
1504650317.66478,47,-1
1504650321.18166,48,-1
1504650324.1137,49,-1
1504650327.33911,50,-8
1504650330.55847,51,-2
1504650333.4104,52,2
1504650336.06237,53,2
1504650339.63234,54,-6
1504650342.26732,55,7
1504650344.53558,56,3
1504650346.32101,57,-9
1504650347.77174,58,-6
1504650348.93983,59,-3
1504650349.9233,60,-5
1504650350.40901,61,-2
1504650350.62227,62,0
1504650354.14156,63,0
1504650357.76344,64,-2
1504650361.01591,65,-4
1504650363.68543,66,1
1504650366.53724,67,-2
1504650368.88932,68,2
1504650372.09187,69,-6
1504650374.89352,70,-1
1504650378.46334,71,3
1504650381.06548,72,6
1504650384.28436,73,4
1504650387.50406,74,4
1504650390.72337,75,7
1504650393.59207,76,6
1504650395.54365,77,-3
1504650397.11209,78,-5
1504650398.27919,79,-5
1504650398.94695,80,-3
1504650399.18019,81,-1
1504650402.76451,82,-2
1504650405.83558,83,-1
1504650409.30531,84,-6
1504650412.02367,85,1
1504650415.59335,86,-9
1504650418.11238,87,5
1504650421.36454,88,-10
1504650424.38393,89,-8
1504650426.88598,90,-1
1504650430.1052,91,1
1504650432.24047,92,5
1504650433.95809,93,-1
1504650435.34292,94,-5
1504650436.44342,95,-4
1504650437.04385,96,-1
1504650437.47743,97,-2
1504650441.11271,98,-1
1504650444.74037,99,3
1504650447.83398,100,0
1504650451.08917,101,-1
1504650454.67489,102,2
1504650457.94483,103,1
1504650460.77966,104,-1
1504650463.28176,105,-3
1504650466.25049,106,-4
1504650469.01998,107,3
1504650471.7225,108,5
1504650474.3073,109,1
1504650476.50879,110,-3
1504650478.59418,111,-4
1504650480.77921,112,1
1504650482.58088,113,-3
1504650484.18219,114,-6
1504650485.21619,115,-4
1504650485.86741,116,-2
1504650486.45105,117,-3
1504650486.65078,118,-1
1504650490.50164,119,-1
1504650494.47401,120,-2
1504650497.74297,121,2
1504650501.51292,122,-6
1504650504.73231,123,2
1504650507.56812,124,3
1504650511.07097,125,-5
1504650513.88964,126,-1
1504650516.57493,127,3
1504650519.46098,128,3
1504650521.92909,129,-2
1504650524.79931,130,-6
1504650527.56728,131,-1
1504650529.88516,132,-1
1504650532.00256,133,0
1504650534.57247,134,3
1504650536.77454,135,8
1504650538.5914,136,0
1504650539.86006,137,-5
1504650540.76195,138,-3
1504650541.24484,139,-2
1504650542.06164,140,-3
1504650542.44563,141,-1
1504650542.64419,142,0
1504650546.28023,143,0
1504650549.74979,144,0
1504650553.01878,145,0
1504650556.60547,146,0
1504650559.69286,147,8
1504650563.27899,148,6
1504650566.55545,149,3
1504650569.43486,150,7
1504650572.82063,151,-4
1504650575.82307,152,2
1504650578.84141,153,12
1504650581.64394,154,4
1504650584.3127,155,-2
1504650586.81515,156,-2
1504650589.13318,157,-5
1504650591.71867,158,1
1504650594.0206,159,1
1504650596.57252,160,-2
1504650598.59143,161,2
1504650600.87714,162,1
1504650603.32777,163,6
1504650605.24691,164,10
1504650606.78082,165,5
1504650607.83202,166,-3
1504650608.49921,167,-2
1504650608.74956,168,-1
1504650612.45035,169,-1
1504650616.05521,170,-2
1504650619.64123,171,-3
1504650623.09391,172,-5
1504650626.54708,173,1
1504650629.63251,174,-2
1504650632.28538,175,-3
1504650634.57005,176,-2
1504650637.57229,177,-4
1504650640.25842,178,-4
1504650642.54299,179,-4
1504650645.5956,180,-2
1504650648.09757,181,5
1504650650.96683,182,-3
1504650653.26858,183,7
1504650655.57078,184,-2
1504650657.48712,185,0
1504650659.87413,186,2
1504650661.99234,187,4
1504650664.26066,188,11
1504650666.44561,189,4
1504650668.63079,190,-2
1504650670.18009,191,0
1504650671.98163,192,0
1504650674.13517,193,-9
1504650675.3673,194,0
1504650676.77064,195,-4
1504650678.35549,196,-1
1504650679.18713,197,0
